AtNum,Group,OxSt,Mult,CN,NZ,Rsd,V,S,G3,VCP,RCMTop,PartOmegaOxygen,RMin,RMax,RAverage
73,E5(V),5,4,6,5.33,1.22312,7.66472,23.38788,0.08367421,10.11392,0.011873,1,1.8673,2.02822,1.9704
73,E5(V),5,4,6,5.08,1.236615,7.92122,24.03012,0.08465008,10.10107,0.02891,0.99377,1.85619,2.1496,1.98869
73,E5(V),5,2,6,5.15,1.226504,7.72851,23.70791,0.08493004,9.65357,0.026854,0.997662,1.86509,2.04959,1.96269
73,E5(V),5,2,6,5,1.261187,8.40287,25.23382,0.0867467,10.0019,0.058733,0.989211,1.89202,2.40262,2.01664
73,E5(V),5,2,6,4.92,1.246258,8.10798,24.45832,0.08549651,9.85928,0.040653,0.982873,1.81895,2.18643,1.99773
73,E5(V),5,2,6,4.85,1.244496,8.07364,24.62763,0.08601975,9.79703,0.048264,0.996011,1.8405,2.1789,1.98729
73,E5(V),5,2,6,4.84,1.238934,7.96586,24.15009,0.0852798,9.90511,0.02877,0.986861,1.81304,2.1719,1.99117
11,E1(Li),1,4,8,7.9,1.476309,13.47783,31.65835,0.0809387,27.78238,0.019299,0.969921,2.45616,2.63662,2.52034
23,E5(V),5,4,4,3.98,1.254573,8.27136,26.88162,0.09653159,2.58611,0.029398,0.945159,1.59516,1.75873,1.71516
23,E5(V),5,8,6,4.37,1.181834,6.91445,22.08845,0.08575363,9.11619,0.071276,0.996719,1.56972,2.20935,1.92321
29,E11(Cu),2,8,6,5.16,1.306741,9.34668,26.70234,0.0854965,12.02663,0.037505,0.988444,1.93129,2.37262,2.10251
26,E8(Fe),2,18,5,4.68,1.250932,8.19955,24.14133,0.08664707,6.55691,0.148762,0.763174,1.93362,2.32701,2.09607
48,E12(Zn),2,4,7,6,1.428582,12.21249,30.65587,0.08310054,19.2586,0.059722,0.950179,2.2496,2.5153,2.36029
48,E12(Zn),2,4,6,6.6,1.429512,12.23634,30.69888,0.08336244,14.1838,0.072432,0.930739,2.25476,2.38907,2.31244
29,E11(Cu),2,8,5,5.48,1.287648,8.94294,25.9261,0.08518178,5.86081,0.029465,0.889938,1.95021,2.13316,1.98808
29,E11(Cu),2,2,5,4.97,1.371976,10.81752,30.07654,0.1000887,6.34111,0.254416,0.948464,1.92848,2.2153,1.99356
66,E3(Ln),3,2,8,6.43,1.398,11.44486,28.87724,0.08151696,23.28897,0.032924,0.989418,2.2462,2.48452,2.38119
83,E15(N),3,2,8,7.33,1.494888,13.99313,32.34449,0.08433161,26.44465,0.230134,0.926691,2.27173,2.91107,2.51321
83,E15(N),3,2,7,6.88,1.461413,13.07398,30.94453,0.08327817,19.10093,0.194881,0.819195,2.24911,2.87972,2.4721
30,E12(Zn),2,3,6,5.71,1.332744,9.91582,27.61,0.08466287,12.54723,0.071924,0.963188,2.08029,2.20911,2.13487
30,E12(Zn),2,3,6,6.04,1.324097,9.72407,26.86806,0.08405604,12.5165,0.056647,0.912214,2.07657,2.21082,2.13229
3,E1(Li),1,18,3,4.76,1.43762,12.44574,31.0038,0.09200007,0,0.241349,0.56108,1.86284,1.99509,1.91925
46,E10(Ni),2,4,4,5.07,1.40877,11.71141,30.25749,0.09127123,0.16089,0.079728,0.763693,1.96354,1.98712,1.97425
46,E10(Ni),2,4,4,4.86,1.476007,13.46958,33.72163,0.09876458,0.09707,0.188388,0.80768,1.97298,1.99016,1.98375
11,E1(Li),1,2,6,6.3,1.476215,13.47526,33.13078,0.08447612,16.32285,0.020584,0.937305,2.3357,2.36519,2.35388
11,E1(Li),1,2,7,6.27,1.484988,13.71695,32.63292,0.08251738,21.47743,0.028092,0.90249,2.31603,2.75898,2.48004
19,E1(Li),1,8,7,8.53,1.632601,18.22758,37.41215,0.0807856,21.40746,0.078633,0.712684,2.61406,2.93904,2.78046
48,E12(Zn),2,2,6,6.01,1.41305,11.81846,30.93036,0.08394595,15.46672,0,0.961366,2.22392,2.3554,2.27381
48,E12(Zn),2,4,6,5.99,1.420335,12.00219,30.63213,0.08303862,15.80539,0.010565,0.899287,2.24995,2.38353,2.29757
48,E12(Zn),2,16,7,6.31,1.431339,12.28332,30.69313,0.0830608,19.67998,0.039642,0.933546,2.25811,2.74142,2.38475
48,E12(Zn),2,4,6,6.4,1.441839,12.55565,31.16634,0.08334932,14.85785,0.038737,0.908866,2.25111,2.41438,2.34141
48,E12(Zn),2,4,8,6.74,1.407674,11.68409,29.24819,0.08125205,24.22798,0.038368,0.994085,2.27735,2.53837,2.40322
48,E12(Zn),2,4,5,6.02,1.444147,12.61605,31.39903,0.08382499,8.37539,0.05513,0.833342,2.18739,2.40748,2.30146
