RefCode;AtNum;Group;OxSt;Mult;CN;NZ;Rsd;V;S;G3;VCP;RCMTop;PartOmegaOxygen
RODXOA01;12;E2;2;1;6;6,57;1,286449;8,91798;24,96997;0,08255662;12,07972;0,023877;0,913272
RODXOA01;12;E2;2;1;6;6,01;1,282607;8,83832;25,24256;0,0831382;11,80749;0,008849;0,959031
RODXOA01;26;E8;3;1;6;5,97;1,264139;8,462;24,99161;0,08374573;11,04046;0,011298;1
RODXOA01;26;E8;3;1;6;5,96;1,2321;7,83477;23,74612;0,08387639;10,21804;0,03161;1
ROGLOR;3;E1;1;16;5;4,93;1,369412;10,75699;29,78601;0,09064726;6,99747;0,127221;0,912228
ROGLOR;92;An;6;16;8;4,57;1,307794;9,36929;25,80675;0,08353504;18,4337;0,01072;1
ROGMAE;81;E13;1;2;8;7,15;1,760733;22,86489;44,18901;0,08172719;46,47192;0,156764;0,877445
ROGMAE;81;E13;1;2;8;6,93;1,766076;23,07368;44,7807;0,08187271;44,58603;0,049247;0,926417
ROGMAE;92;An;6;2;8;4,51;1,301952;9,2443;25,59846;0,08370592;18,1795;0,012841;1
ROGMAE;92;An;6;2;8;4,6;1,306779;9,34749;25,72932;0,08323614;18,40121;0,008879;1
ROGMAE01;81;E13;1;4;6;7,3;1,757425;22,73626;44,36368;0,08243111;25,70016;0,027637;0,744218
ROGMAE01;92;An;6;4;8;4,47;1,301851;9,24214;25,58701;0,08366794;18,22774;0,008398;1
ROHKOR;90;An;4;48;8;7,55;1,398921;11,4675;28,8721;0,08172564;23,94603;0,006956;1
ROJXAS;64;Ln;3;4;9;7,58;1,404975;11,61701;28,5701;0,08011616;28,68332;0,018193;0,999443
ROKBOL;48;E12;2;1;6;5,58;1,427852;12,19378;31,55636;0,08410986;15,80735;0;0,995087
ROKBOL;48;E12;2;2;6;5,62;1,434604;12,36757;31,65415;0,08509889;15,196;0,104555;0,99844
ROKBOL01;48;E12;2;2;6;6,07;1,414631;11,85818;29,88915;0,08300781;15,25776;0,066386;0,872694
ROKBOL01;48;E12;2;1;6;5,62;1,42842;12,20832;31,42736;0,08401048;15,84232;0;0,97969
ROLLUC;25;E7;2;2;6;5,67;1,355699;10,43707;28,47794;0,0833545;13,84529;0,023866;0,987886
ROLLUC;25;E7;2;2;6;5,04;1,397149;11,42395;30,86838;0,08621695;12,73552;0,025319;0,998719
ROLMOX;20;E2;2;4;8;6,61;1,474793;13,43636;32,39529;0,08249095;26,05198;0,056312;0,996854
ROLMOX;20;E2;2;4;6;6,12;1,438865;12,47811;31,50975;0,08374987;16,0881;0,06448;0,931638
ROLMUD;38;E2;2;4;9;8,37;1,567923;16,14592;35,37068;0,08073794;37,82809;0,050155;0,971327
ROLRES;49;E13;3;8;8;6,57;1,341341;10,10896;26,75581;0,081771;20,31816;0,02559;0,999216
ROLSOD;27;E9;2;9;5;4,75;1,354008;10,39807;29,10625;0,08870031;7,15213;0,075293;0,948366
ROLSOD;27;E9;2;9;5;4,86;1,348555;10,27293;28,85373;0,08787878;7,08282;0,05135;0,930162
ROLSOD;30;E12;2;3;4;4,38;1,40516;11,62161;32,71887;0,09305538;3,79017;0,025501;0,95499
ROLSOD;30;E12;2;9;4;4,21;1,420447;12,00503;33,95074;0,09504318;3,77467;0,108329;0,974295
ROLSOD;30;E12;2;9;4;4,69;1,373228;10,84718;29,8028;0,08822274;3,81975;0,047097;0,925829
ROSREZ;11;E1;1;4;6;6,45;1,481256;13,61377;33,08673;0,08310536;18,1317;0,061056;0,832856
