RefCode;Element;Name;AtNum;Group;Period;OxSt;Mult;CN;NZ;Rsd;V;S;G3;VCP;RCMTop;PartOmegaOxygen;
166325;Pb;Pb2;82;E14;6;2;6;8;6,95;1,549036;15,56943;34,30536;0,08154526;31,94295;0,17;0,765126;
166326;Pb;Pb1;82;E14;6;2;4;9;7,73;1,506318;14,31657;32,7914;0,0802192;35,19727;0,02;0,991918;
166326;Pb;Pb2;82;E14;6;2;6;8;7;1,544018;15,41863;34,06843;0,08148541;31,62691;0,16;0,763023;
166327;Pb;Pb1;82;E14;6;2;4;9;7,76;1,500541;14,15247;32,53479;0,08020778;34,79399;0,02;0,991499;
166327;Pb;Pb2;82;E14;6;2;6;8;7,13;1,538858;15,26456;33,80804;0,08127498;31,26454;0,15;0,759813;
166330;Pb;Pb1;82;E14;6;2;4;9;7,72;1,53345;15,10418;33,98191;0,08021672;37,14024;0,02;0,991816;
166330;Pb;Pb2;82;E14;6;2;6;6;6,78;1,571559;16,2585;35,34899;0,08171882;14,05334;0,17;0,772378;
166451;Li;Li1;3;E1;2;1;4;5;4,6;1,379207;10,98948;30,09451;0,0887357;7,26675;0,08;0,989044;
166451;Sc;Sc1;21;E3;4;3;2;6;5,92;1,30248;9,25555;26,40214;0,08387202;12,08213;0,00;0,997645;
166902;Fe;Fe1;26;E8;4;3;2;6;5,77;1,235927;7,90802;23,84701;0,08357574;10,46918;0,00;0,999961;
166902;Fe;Fe2;26;E8;4;3;4;6;5,64;1,234422;7,87915;23,63203;0,08333626;10,49124;0,01;0,98739;
166904;Fe;Fe1;26;E8;4;3;1;6;5,76;1,2398;7,98259;23,97892;0,0835148;10,59286;0,00;0,999475;
166904;Fe;Fe2;26;E8;4;3;2;6;5,58;1,235119;7,8925;23,65126;0,08333255;10,51716;0,01;0,986717;
167330;Sb;Sb1;51;E15;5;3;4;6;6,26;1,443039;12,58701;30,03307;0,08783649;9,12766;0,34;0,914849;
168004;Pb;Pb1;82;E14;6;2;3;8;6,84;1,615596;17,66393;37,99075;0,08432879;33,268;0,21;0,993805;
168004;Zn;Zn1;30;E12;4;2;3;4;4,6;1,384893;11,12596;31,14764;0,09102695;3,635;0,03;0,994928;
168363;Ge;Ge1;32;E14;4;4;2;4;4,23;1,2688;8,55595;27,31568;0,0948813;2,68515;0,05;0,976706;
168389;Sb;Sb1;51;E15;5;3;4;6;5,97;1,203508;7,30189;22,58753;0,08336985;9,72338;0,00;1;
168389;Ge;Ge1;32;E14;4;4;8;4;4,26;1,266058;8,5006;27,10451;0,09401075;2,737;0,04;0,975214;
168389;Ge;Ge2;32;E14;4;4;8;4;4,32;1,250895;8,19882;25,8011;0,09136238;2,73;0,03;0,95542;
168389;Ge;Ge3;32;E14;4;4;8;5;4,71;1,223393;7,66984;24,33157;0,09055502;5,168;0,04;0,942218;
168389;Ge;Ge4;32;E14;4;4;8;5;4,7;1,227249;7,7426;24,75399;0,09125287;5,196;0,04;0,950429;
168568;Na;Na1;11;E1;3;1;1;6;7,32;1,517789;14,64613;33,43955;0,08238658;20,1933;0,00;0,836948;
168568;Na;Na2;11;E1;3;1;2;6;5,73;1,503188;14,22751;34,43614;0,0832924;18,71315;0,05;0,945883;
168568;Na;Na3;11;E1;3;1;2;7;6;1,521945;14,76676;34,36388;0,08347526;22,80406;0,05;0,981604;
168569;Na;Na1;11;E1;3;1;1;6;7,36;1,51702;14,62387;33,43072;0,08247298;20,19341;0,00;0,829594;
168569;Na;Na2;11;E1;3;1;2;6;5,78;1,498896;14,10596;34,19371;0,08328678;18,74403;0,06;0,91206;
168569;Na;Na3;11;E1;3;1;2;7;6,12;1,520902;14,73643;34,26973;0,08334753;22,77162;0,05;0,975114;
169957;Al;Al1;13;E13;3;3;2;6;6,05;1,166989;6,65716;21,15075;0,08335596;8,85619;0,00;0,99118;
169957;Fe;Fe1;26;E8;4;3;2;6;6;1,242518;8,0352;24,08335;0,08342362;10,67841;0,00;1;
169957;Fe;Fe2;26;E8;4;3;4;6;5,84;1,233949;7,87009;23,76641;0,08354127;10,39536;0,01;0,999161;
169958;Al;Al1;13;E13;3;3;2;6;6,06;1,166161;6,643;21,10554;0,08333932;8,84;0,00;0,989656;
169958;Fe;Fe1;26;E8;4;3;2;6;6;1,243214;8,04871;24,11052;0,08342453;10,69586;0,00;1;
169958;Fe;Fe2;26;E8;4;3;4;6;5,84;1,23179;7,82886;23,68868;0,08354282;10,34033;0,01;0,999612;
169959;Al;Al1;13;E13;3;3;4;6;5,98;1,166472;6,64832;21,07987;0,08325317;8,86564;0,00;0,985266;
169959;Fe;Fe1;26;E8;4;3;2;6;6;1,233131;7,85445;23,72109;0,08342737;10,43801;0,00;1;
169959;Fe;Fe2;26;E8;4;3;2;6;6;1,242928;8,04315;24,1153;0,08353062;10,64416;0,00;1;
170016;Ni;Ni1;28;E10;4;2;2;6;6,17;1,265007;8,47945;24,42713;0,08282942;11,39497;0,00;0,964327;
170016;Ni;Ni2;28;E10;4;2;2;6;6,12;1,268822;8,55639;24,69724;0,08298335;11,45657;0,00;0,971393;
170109;Sm;Sm1;62;Ln;6;3;2;8;7,47;1,41643;11,90349;29,36341;0,08107824;25,25773;0,03;0,98868;
170756;Y;Y1;39;E3;5;3;4;8;7,14;1,377901;10,95828;27,92171;0,08169838;22,64381;0,02;0,996615;
171023;Al;Al1;13;E13;3;3;8;6;6,26;1,173305;6,76584;20,88514;0,08293245;9,11329;0,04;0,922214;
171195;K;K1;19;E1;4;1;4;9;8,82;1,695271;20,40827;40,51628;0,08127586;49,3551;0,06;0,840597;
171195;Mg;Mg1;12;E2;3;2;4;6;5,88;1,290944;9,01179;25,59902;0,08308584;12,09802;0,01;0,944583;
171267;K;K1;19;E1;4;1;8;8;6,45;1,779339;23,59743;45,57825;0,0831061;37,61379;0,11;0,897034;
171437;Cu;Cu1;29;E11;4;2;4;6;4,63;1,262621;8,43156;24,45703;0,08512026;11,179;0,05;0,93363;
171437;Cu;Cu2;29;E11;4;2;4;6;5,23;1,276355;8,70969;25,00298;0,08478092;11,49;0,10;0,953415;
171437;Cu;Cu3;29;E11;4;2;4;6;5,72;1,313689;9,49656;25,83997;0,08288585;12,976;0,01;0,857805;
171437;Cu;Cu4;29;E11;4;2;4;6;7,08;1,316309;9,55348;25,2834;0,08249338;13,514;0,08;0,705618;
171631;Cu;Cu1;29;E11;4;2;1;4;5,08;1,35537;10,42946;29,03411;0,08821368;0;0,00;0,999046;
